

Sequential Pattern Mining:
[Trajectory]          [Support]


([Colosseo, Foro Romano, Colosseo], 0.0946)
([Foro Romano, Colosseo, Foro Romano], 0.0904)
([Colosseo, Foro Romano, San Pietro], 0.0709)
([San Pietro, Colosseo, San Pietro], 0.0617)
([Colosseo, Colosseo, San Pietro], 0.0617)
([Colosseo, Foro Romano, Foro Romano], 0.0608)
([Colosseo, Colosseo, Foro Romano], 0.06)
([Colosseo, Colosseo, Colosseo], 0.0591)
([Colosseo, San Pietro, Colosseo], 0.0591)
([Foro Romano, Colosseo, Colosseo], 0.0583)
([San Pietro, Musei Vaticani, San Pietro], 0.0574)
([San Pietro, Foro Romano, Colosseo], 0.0574)
([Colosseo, Foro Romano, Pantheon], 0.0574)
([San Pietro, Colosseo, Foro Romano], 0.0566)
([Colosseo, Foro Romano, Fontana di Trevi], 0.0557)
([San Pietro, Colosseo, Colosseo], 0.0541)
([Foro Romano, Foro Romano, Colosseo], 0.0532)
([Foro Romano, Colosseo, San Pietro], 0.0524)
([Colosseo, Pantheon, San Pietro], 0.049)
([Pantheon, Foro Romano, Colosseo], 0.049)
([San Pietro, San Pietro, Colosseo], 0.0481)
([San Pietro, San Pietro, San Pietro], 0.0481)
([Colosseo, Pantheon, Fontana di Trevi], 0.0473)
([San Pietro, Piazza Navona, Pantheon], 0.0456)
([Colosseo, Foro Romano, Piazza di Spagna], 0.0456)
([Colosseo, Fontana di Trevi, San Pietro], 0.0456)
([Colosseo, San Pietro, San Pietro], 0.0456)
([San Pietro, Castel Sant'Angelo, San Pietro], 0.0448)
([Colosseo, Foro Romano, Colosseo, Foro Romano], 0.0448)
([Foro Romano, Colosseo, Foro Romano, Colosseo], 0.0448)
([San Pietro, Castel Sant'Angelo, Colosseo], 0.0439)
([San Pietro, Pantheon, Colosseo], 0.0439)
([Foro Romano, Colosseo, Fontana di Trevi], 0.0439)
([San Pietro, Fontana di Trevi, Colosseo], 0.0431)
([Piazza Navona, Pantheon, Colosseo], 0.0431)
([San Pietro, Colosseo, Fontana di Trevi], 0.0422)
([San Pietro, Foro Romano, Foro Romano], 0.0422)
([Colosseo, Colosseo, Fontana di Trevi], 0.0422)
([Colosseo, Foro Romano, Piazza Venezia], 0.0422)
([Pantheon, Colosseo, Colosseo], 0.0422)
([Fontana di Trevi, Colosseo, Foro Romano], 0.0422)
([San Pietro, Colosseo, Pantheon], 0.0414)
([San Pietro, Pantheon, San Pietro], 0.0414)
([Fontana di Trevi, Foro Romano, Colosseo], 0.0414)
([Foro Romano, Colosseo, Pantheon], 0.0405)
([Foro Romano, Foro Romano, Foro Romano], 0.0405)
([Foro Romano, Foro Romano, San Pietro], 0.0405)
([Colosseo, Piazza Navona, Pantheon], 0.0397)
([Pantheon, Colosseo, Foro Romano], 0.0397)
